departamento,grupo_edad,poblacion_2007,poblacion_2017,variacion_absoluta,variacion_pct,total_dpto_2007,total_dpto_2017,crecimiento_dpto_pct
San Martin,75-79,5933,9393,3460,58.32,728808,813381,11.6
San Martin,80-84,3174,5984,2810,88.53,728808,813381,11.6
San Martin,85-89,1841,2933,1092,59.32,728808,813381,11.6
San Martin,90-94,634,980,346,54.57,728808,813381,11.6
Tumbes,0-4,21637,21695,58,0.27,200306,224863,12.26
Tumbes,5-9,19081,23268,4187,21.94,200306,224863,12.26
Tumbes,10-14,20058,20953,895,4.46,200306,224863,12.26
Tumbes,15-19,20306,17672,-2634,-12.97,200306,224863,12.26
Tumbes,20-24,19506,18127,-1379,-7.07,200306,224863,12.26
Tumbes,25-29,17790,17708,-82,-0.46,200306,224863,12.26
Tumbes,30-34,15797,17388,1591,10.07,200306,224863,12.26
Tumbes,35-39,14496,16530,2034,14.03,200306,224863,12.26
Tumbes,40-44,12744,14723,1979,15.53,200306,224863,12.26
Tumbes,45-49,10529,13109,2580,24.5,200306,224863,12.26
Tumbes,50-54,8453,11589,3136,37.1,200306,224863,12.26
Tumbes,55-59,5745,9960,4215,73.37,200306,224863,12.26
Tumbes,60-64,4312,7590,3278,76.02,200306,224863,12.26
Tumbes,65-69,3131,5101,1970,62.92,200306,224863,12.26
Tumbes,70-74,2653,3631,978,36.86,200306,224863,12.26
Tumbes,75-79,1987,2472,485,24.41,200306,224863,12.26
Tumbes,80-84,1060,1812,752,70.94,200306,224863,12.26
Tumbes,85-89,669,1042,373,55.75,200306,224863,12.26
Tumbes,90-94,235,374,139,59.15,200306,224863,12.26
Ucayali,0-4,55929,56484,555,0.99,432159,496459,14.88
Ucayali,5-9,46501,60572,14071,30.26,432159,496459,14.88
Ucayali,10-14,54156,54230,74,0.14,432159,496459,14.88
Ucayali,15-19,47875,40253,-7622,-15.92,432159,496459,14.88
Ucayali,20-24,40111,41224,1113,2.77,432159,496459,14.88
Ucayali,25-29,34864,40217,5353,15.35,432159,496459,14.88
Ucayali,30-34,30218,37147,6929,22.93,432159,496459,14.88
Ucayali,35-39,27773,33117,5344,19.24,432159,496459,14.88
Ucayali,40-44,24706,29231,4525,18.32,432159,496459,14.88
Ucayali,45-49,19709,24962,5253,26.65,432159,496459,14.88
Ucayali,50-54,15263,22055,6792,44.5,432159,496459,14.88
Ucayali,55-59,11231,18112,6881,61.27,432159,496459,14.88
Ucayali,60-64,7930,13626,5696,71.83,432159,496459,14.88
Ucayali,65-69,5909,9938,4029,68.18,432159,496459,14.88
Ucayali,70-74,4070,6351,2281,56.04,432159,496459,14.88
Ucayali,75-79,2934,4415,1481,50.48,432159,496459,14.88
Ucayali,80-84,1618,2632,1014,62.67,432159,496459,14.88
Ucayali,85-89,948,1245,297,31.33,432159,496459,14.88
Ucayali,90-94,261,496,235,90.04,432159,496459,14.88
